1	0.000009
4	0.004880
7	0.000369
10	0.000294
13	0.000313
16	0.000126
19	0.000110
22	0.000205
25	0.000153
28	0.000243
31	0.000170
34	0.000326
37	0.000159
40	0.000237
43	0.000254
46	0.000271
49	0.000280
52	0.000298
55	0.000250
58	0.000326
61	0.000245
64	0.000318
67	0.000360
70	0.000407
73	0.000398
76	0.000432
79	0.000451
82	0.000462
85	0.000449
88	0.000454
91	0.000487
94	0.000539
97	0.000555
100	0.000536
103	0.000574
106	0.000601
109	0.000709
112	0.000654
115	0.000648
118	0.000586
121	0.000727
124	0.000663
127	0.000732
