30
14449 13822 Berlin
11509 12808 Dortmund
12165 11676 Frankfurt
12703 14465 Hamburg
13808 10135 Muenchen
13653 13346 Schoenebeck
5989 16739 Glasgow
7576 12924 London
10361 6040 Marseille
8761 10662 Paris
12725 19798 Oslo
15791 19726 Stockholm
18423 21079 Helsinki
13726 16400 Kopenhagen
10206 13533 Amsterdam
9884 12263 Bruessel
18308 14209 Warschau
15202 11889 Prag
17995 10136 Budapest
22589 8503 Bukarest
21273 6624 Sofia
22307 2801 Athen
25051 6187 Istanbul
16454 10470 Wien
12590 7868 Mailand
14734 5032 Rom
14406 7952 Venedig
8378 4543 Barcelona
4649 4031 Madrid
948 3099 Lissabon
