250
13827 13221 Aken
13552 13317 Altenweddingen
13475 14041 Arendsee
13531 13116 Aschersleben
13582 13491 Barleben
13671 13155 Bernburg
13615 13301 Biere
13982 13045 Bitterfeld
13271 13123 Blankenburg
13695 13553 Burg
13678 13248 Calbe
13924 13208 Dessau
13500 13265 Egeln
13381 13428 Eilsleben
13453 13745 Gardelegen
13837 13677 Genthin
13696 13390 Gommern
13604 13151 Guesten
13318 13212 Halberstadt
13471 13552 Haldensleben
13799 12907 Halle
13566 13029 Hettstedt
13442 13849 Kalbe
13327 13818 Kloetze
13798 13126 Koethen
13544 13344 Langenweddingen
13840 12786 Leuna
13591 13430 Magdeburg
13832 12802 Merseburg
13747 12630 Naumburg
13249 13656 Oebisfelde
13400 13333 Oschersleben
13376 13129 Quedlinburg
13930 13256 Rosslau
13462 12874 Sangerhausen
13650 13332 Schoenebeck
13607 14058 Seehausen
13588 13201 Stassfurt
13660 13683 Tangerhuette
13743 13786 Tangermuende
13320 13096 Thale
13503 13367 Wanzleben
13349 13466 Wefensleben
13828 12686 Weissenfels
13180 13150 Wernigerode
14119 13255 Wittenberg
13952 13073 Wolfen
13584 13527 Wolmirstedt
13926 12564 Zeitz
13840 13311 Zerbst
14483 14943 Anklam
13972 15315 Barth
13063 14421 Boizenburg
13755 14824 Guestrow
13454 14414 Ludwigslust
14220 14508 Neustrelitz
13614 14515 Parchim
14680 14673 Pasewalk
13713 15050 Rostock
14403 15485 Sassnitz
13387 14660 Schwerin
14148 15285 Stralsund
14019 14616 Waren
13373 14875 Wismar
14505 15106 Wolgast
14569 15128 Zinnowitz
14044 13696 Brandenburg
14994 13254 Cottbus
14635 14110 Eberswalde-Finow
15106 13598 Eisenhuettenstadt
14305 13853 Falkensee
14692 13119 Finsterwalde
15155 13255 Forst
15050 13752 Frankfurt/Oder
14805 13733 Fuerstenwalde
15163 13443 Guben
14353 13916 Hennigsdorf
14720 12982 Lauchhammer
14376 13466 Luckenwalde
14416 13649 Ludwigsfelde
14184 13872 Nauen
14356 14015 Oranienburg
14296 13710 Potsdam
14615 14508 Prenzlau
13795 14291 Pritzwalk
13916 13849 Rathenow
14841 14324 Schwedt
14850 13042 Senftenberg
13616 14153 Wittenberge
14460 13838 Berlin
14255 12205 Aue
14984 12556 Bad-Schandau
15100 12783 Bautzen
14978 12729 Bischofswerda
14111 12641 Borna
14311 12392 Chemnitz
14668 12694 Coswig
14429 12666 Doebeln
14759 12640 Dresden
14143 12918 Eilenburg
14561 12508 Freiberg
15383 12797 Goerlitz
14984 12993 Hoyerswerda
14287 12115 Johanngeorgenstadt
14033 12815 Leipzig
14035 12754 Markkleeberg
14111 12409 Meerane
14610 12719 Meissen
14874 12575 Pirna
13966 12097 Plauen
14719 12681 Radebeul
15296 12778 Reichenbach
14503 12831 Riesa
14220 12209 Schneeberg
14330 13018 Torgau
15176 13061 Weisswasser
15324 12579 Zittau
14435 12359 Zschopau
14134 12305 Zwickau
14084 12522 Altenburg
13606 12515 Apolda
13321 12339 Arnstadt
12982 12436 Eisenach
13369 12453 Erfurt
13909 12413 Gera
13190 12424 Gotha
13985 12238 Greiz
13327 12209 Ilmenau
13651 12440 Jena
13055 12095 Meiningen
13050 12633 Muehlhausen
13203 12878 Nordhausen
13536 12258 Rudolstadt
13523 12228 Saalfeld
13394 12613 Soemmerda
13249 12775 Sondershausen
13216 12131 Suhl
13508 12471 Weimar
12526 14703 Elmshorn
12379 15534 Flensburg
12206 15281 Husum
12448 14843 Itzehoe
12733 15180 Kiel
13019 14822 Luebeck
12671 14974 Neumuenster
12448 15336 Schleswig
12709 14541 Hamburg
12133 14126 Bremen
12011 14499 Bremerhaven
13103 13059 Braunlage
13034 13494 Braunschweig
12770 13780 Celle
12058 14763 Cuxhaven
12046 14097 Delmenhorst
11333 14342 Emden
12551 13593 Garbsen
12996 13207 Goslar
12760 12882 Goettingen
12446 13338 Hameln
12627 13574 Hannover
13269 13487 Helmstedt
12742 13396 Hildesheim
12920 14306 Lueneburg
11843 14161 Oldenburg
11780 13449 Osnabrueck
12933 13403 Salzgitter
11785 14483 Wilhelmshaven
