100
13924 13208 Dessau
13453 13745 Gardelegen
13318 13212 Halberstadt
13799 12907 Halle
13591 13430 Magdeburg
13376 13129 Quedlinburg
13650 13332 Schoenebeck
13320 13096 Thale
13180 13150 Wernigerode
14119 13255 Wittenberg
13755 14824 Guestrow
13713 15050 Rostock
14403 15485 Sassnitz
13387 14660 Schwerin
14148 15285 Stralsund
13373 14875 Wismar
14505 15106 Wolgast
14044 13696 Brandenburg
14994 13254 Cottbus
15106 13598 Eisenhuettenstadt
15050 13752 Frankfurt/Oder
14296 13710 Potsdam
14841 14324 Schwedt
13616 14153 Wittenberge
14460 13838 Berlin
14255 12205 Aue
15100 12783 Bautzen
14311 12392 Chemnitz
14759 12640 Dresden
15383 12797 Goerlitz
14984 12993 Hoyerswerda
14033 12815 Leipzig
14610 12719 Meissen
13966 12097 Plauen
14503 12831 Riesa
14134 12305 Zwickau
12982 12436 Eisenach
13369 12453 Erfurt
13909 12413 Gera
13327 12209 Ilmenau
13651 12440 Jena
13203 12878 Nordhausen
13216 12131 Suhl
13508 12471 Weimar
12379 15534 Flensburg
12733 15180 Kiel
13019 14822 Luebeck
12448 15336 Schleswig
12709 14541 Hamburg
12133 14126 Bremen
12011 14499 Bremerhaven
13034 13494 Braunschweig
12760 12882 Goettingen
12446 13338 Hameln
12627 13574 Hannover
13269 13487 Helmstedt
11843 14161 Oldenburg
11780 13449 Osnabrueck
12933 13403 Salzgitter
13139 13642 Wolfsburg
10790 12197 Aachen
12026 13258 Bielefeld
11369 12785 Bochum
11314 12174 Bonn
11493 12822 Dortmund
11145 12568 Duesseldorf
11249 12768 Essen
11306 12811 Gelsenkirchen
11666 12963 Hamm
11238 12348 Koeln
11032 12654 Krefeld
11571 13179 Muenster
12144 13010 Paderborn
11789 12298 Siegen
11353 12615 Wuppertal
12142 11480 Darmstadt
12148 11677 Frankfurt/Main
12672 12073 Fulda
12546 12696 Kassel
12200 11671 Offenbach
11930 11640 Wiesbaden
11686 11110 Kaiserslautern
11573 11863 Koblenz
11939 11579 Mainz
11093 11370 Trier
11277 10934 Saarbruecken
11756 9929 Freiburg
12178 11093 Heidelberg
12038 10755 Karlsruhe
12067 11157 Mannheim
12470 10598 Stuttgart
12414 10372 Tuebingen
12921 10302 Ulm
13422 10298 Augsburg
13705 11623 Bayreuth
13865 11939 Hof
13802 10143 Muenchen
13469 11200 Nuernberg
14817 10587 Passau
14045 10882 Regensburg
