1	0.000009
4	0.000028
7	0.000258
10	0.000364
13	0.000297
16	0.000143
19	0.000241
22	0.000254
25	0.000274
28	0.000233
31	0.000266
34	0.000235
37	0.000296
40	0.000321
43	0.000360
46	0.000373
49	0.000404
52	0.000401
55	0.000397
58	0.000446
61	0.000474
64	0.000516
67	0.000512
70	0.000519
73	0.000555
76	0.000605
79	0.000604
82	0.000588
85	0.000607
88	0.000612
91	0.000659
94	0.000863
97	0.000856
100	0.000981
103	0.000921
106	0.000817
109	0.000768
112	0.000890
115	0.000877
118	0.000932
121	0.000968
124	0.001047
127	0.000995
